symbol
AAPL
MSFT
NVDA
AMZN
GOOGL
META
TSLA
BRK.B
LLY
AVGO
UNH
JPM
V
XOM
MA
JNJ
PG
HD
COST
MRK
ADBE
ABBV
PEP
CRM
BAC
NFLX
WMT
AMD
TMO
DIS
KO
QCOM
PFE
ABT
MCD
ORCL
CSCO
CVX
DHR
ACN
LIN
TXN
CMCSA
NKE
NEE
INTU
PM
INTC
MDT
AMAT
HON
UNP
LOW
MS
NOW
CAT
AMGN
VRTX
LMT
ISRG
SPGI
BLK
BA
DE
ADI
ELV
REGN
MU
GILD
MO
SYK
ZTS
CI
TGT
PGR
BKNG
GE
APD
PLD
TFC
ADP
ETN
SCHW
BDX
MMC
CB
AON
EW
FISV
SO
C
USB
SLB
GM
FDX
AIG
SHW
PSX
ECL
MRNA
ROST
HCA
KLAC
CE
